Nome,Lotação,Cargo,RemuneraçãoParadigma(1),VantagensPessoais(2),"Subs., Dif. Subs., Função Conf. ou Cargo Comis.",Indenizações(3),VantagensEventuais(4),Gratificações(5),Total deCréditos(6),PrevidênciaPública(7),Impostode Renda(8),DescontosDiversos(9),Retençãopor TetoConst.(10),Total deDébitos(11),RendimentoLíquido(12),Remuneraçãodo Órgão deorigem(13),Diárias(14)
AUGUSTO FRANCISCO MOTA FERRAZ DE ARRUDA,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","7.265,28",,"5.191,73","43.074,73",,"86.002,85","3.739,64","7.347,07",,,"11.086,71","74.916,14",,
KIOITSI CHICUTA,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","10.066,07",,"5.191,73","21.771,73",,"67.500,64","5.927,00","8.835,73","4.699,50",,"19.462,23","48.038,41",,
JOSE BENEDITO FRANCO DE GODOI,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,93",,"5.191,73","20.840,80",,"62.747,57","3.638,42","7.226,14","7.459,52",,"18.324,08","44.423,49",,
JOSE ROBERTO LINO MACHADO,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","8.375,84",,"5.191,73","19.381,00",,"63.419,68","5.770,33","8.467,68","211,38",,"14.449,39","48.970,29",,
JOAO LUIZ MORENGHI,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,93",,"5.191,73","18.340,80",,"60.247,57","3.638,42","7.226,14","5.627,58",,"16.492,14","43.755,43",,
FRANCISCO ANTONIO CASCONI,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,93",,"5.191,73","18.340,80",,"60.247,57","3.638,42","7.174,00","5.461,19",,"16.273,61","43.973,96",,
HEITOR LUIZ FERREIRA DO AMPARO,2ª VARA CÍVEL DA COMARCA DE ARARAQUARA,Juiz de Direito de Entrância Final,"28.947,55","5.776,32",,"5.191,73","14.975,87",,"54.891,47","3.441,10","6.578,55","190,24",,"10.209,89","44.681,58",,"1.654,58"
FABIO DE OLIVEIRA QUADROS,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","8.063,14",,"5.191,73","18.340,80","16.538,31","78.605,09","5.457,63","7.017,59","2.604,11",,"15.079,33","63.525,76",,
FERNANDO MELO BUENO FILHO,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","8.261,42",,"6.481,73","20.840,80",,"66.055,06","5.655,91","8.293,98","2.850,76",,"16.800,65","49.254,41",,
RICARDO BRAGA MONTE SERRAT,1ª VARA FAMÍLIA E SUCESSÕES DA C DE RIBEIRÃO PRETO,Juiz de Direito de Entrância Final,"28.947,55","4.816,74",,"5.191,73","34.208,51",,"73.164,53","3.346,01","6.471,23","1.638,55",,"11.455,79","61.708,74",,
ADEMIR DE CARVALHO BENEDITO,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","8.100,89",,"5.191,73","18.719,74","17.567,88","80.051,35","5.495,38","7.206,35","211,38",,"12.913,11","67.138,24",,
ANTONIO CARLOS MATHIAS COLTRO,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","7.946,18",,"6.846,73","41.964,42",,"87.228,44","3.807,11","7.497,20","5.025,89",,"16.330,20","70.898,24",,
FABIO MONTEIRO GOUVEA,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","7.605,73",,"5.191,73","0,01",,"43.268,58","3.773,38","6.374,27",,,"10.147,65","33.120,93",,
RUY COPPOLA,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","10.196,81",,"5.191,73","20.378,44",,"66.238,09","6.049,63","9.105,46",,,"15.155,09","51.083,00",,
EVERALDO DE MELO COLOMBI,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","8.261,42",,"6.116,73","20.840,80",,"65.690,06","5.655,91","8.398,25","46,42",,"14.100,58","51.589,48",,
GASTAO TOLEDO DE CAMPOS MELLO FILHO,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","7.555,30",,"5.390,73","20.961,20",,"64.378,34","3.768,38","7.411,01","222,00",,"11.401,39","52.976,95",,
ARTUR MARQUES DA SILVA FILHO,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","8.736,76",,"5.191,73","22.067,13",,"66.466,73","5.824,54","8.555,18","399,00",,"14.778,72","51.688,01",,
ALVARO TORRES JUNIOR,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","8.261,42",,"5.191,73","18.340,80",,"62.265,06","5.655,91","8.346,12","211,38",,"14.213,41","48.051,65",,
TARCISIO FERREIRA VIANNA COTRIM,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,93",,"6.238,03","18.340,80",,"61.293,87","3.638,42","7.174,00","2.486,01",,"13.298,43","47.995,44",,
MANUEL MATHEUS FONTES,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","8.261,42",,"5.191,73","18.340,80",,"62.265,06","5.655,91","8.293,98",,,"13.949,89","48.315,17",,
NILO CARDOSO PERPETUO,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,93",,"6.456,73","20.788,71",,"63.960,48","3.638,42","7.121,87","222,40",,"10.982,69","52.977,79",,
ENIO SANTARELLI ZULIANI,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","8.261,32",,"5.191,73","20.840,80",,"64.764,96","5.655,81","7.017,59",,,"12.673,40","52.091,56",,
ANTONIO FERNANDO BITTENCOURT LEAO,3ª VARA CÍVEL DA COMARCA DE LINS,Juiz de Direito de Entrância Intermediária,"27.500,17","4.438,82",,"5.191,73","15.824,68",,"52.955,40","3.165,12","5.964,49","171,22",,"9.300,83","43.654,57",,"1.654,58"
ALBERTO GENTIL DE ALMEIDA PEDROSO NETO,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","8.261,42",,"5.191,73","18.340,80",,"62.265,06","5.655,91","8.398,25","5.280,38",,"19.334,54","42.930,52",,
ANTONIO RIGOLIN,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,93",,"5.191,73","20.840,80",,"62.747,57","3.638,42","7.069,73","211,38",,"10.919,53","51.828,04",,"790,29"
AROLDO MENDES VIOTTI,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","7.605,73",,"5.191,73","20.394,20",,"63.662,77","3.773,38","7.370,00","5.828,10",,"16.971,48","46.691,29",,
CARLOS EDUARDO ANDRADE SAMPAIO,3ª VARA CRIMINAL DA COMARCA DE SANTOS,Juiz de Direito de Entrância Final,"28.947,55","7.612,66",,"5.191,73","15.447,85",,"57.199,79","5.153,94","7.595,78","236,66",,"12.986,38","44.213,41",,
ANTONIO DE ALMEIDA SAMPAIO,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","7.605,73",,"5.191,73","19.085,49",,"62.354,06","3.773,38","7.422,13","37,00",,"11.232,51","51.121,55",,
CELSO JOSE PIMENTEL,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","9.705,13",,"5.191,73","19.085,49",,"64.453,46","5.872,78","8.800,37","211,38",,"14.884,53","49.568,93",,
EROS PICELI,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,97",,"5.191,73","19.381,00",,"61.287,81","3.638,46","7.174,00","370,00",,"11.182,46","50.105,35",,
JOSE ARALDO DA COSTA TELLES,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,93",,"5.191,73","18.340,80",,"60.247,57","3.638,42","4.887,92","7.365,08",,"15.891,42","44.356,15",,
JOSE ORESTES DE SOUZA NERY,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","8.261,42",,"5.191,73","20.840,80",,"64.765,06","5.655,91","6.783,58","5.893,33",,"18.332,82","46.432,24",,
LUIZ ALBERTO DE LORENZI,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,93",,"5.191,73","18.340,80",,"60.247,57","3.638,42","7.174,00",,,"10.812,42","49.435,15",,
LUIZ ANTONIO FIGUEIREDO GONCALVES,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,94",,"5.191,73","18.340,80",,"60.247,58","3.638,43","7.069,73","2.323,92",,"13.032,08","47.215,50",,
LUIZ AUGUSTO GOMES VARJAO,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,93",,"5.191,73","19.381,00",,"61.287,77","3.638,42","7.069,73","384,38",,"11.092,53","50.195,24",,
LUIZ AUGUSTO DE SALLES VIEIRA,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,93",,"5.191,73","22.750,92",,"64.657,69","3.638,42","7.210,55","5.415,65",,"16.264,62","48.393,07",,
LUIZ BEETHOVEN GIFFONI FERREIRA,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","7.605,43",,"5.191,73","36.975,54",,"80.243,81","5.270,21","7.778,12",,,"13.048,33","67.195,48",,
LUIS CARLOS DE BARROS,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","8.063,14",,"5.191,73","40.391,80","16.538,31","100.656,09","5.457,63","7.121,87","359,38",,"12.938,88","87.717,21",,
LUIZ CORREIA LIMA,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","8.261,42",,"5.191,73","18.340,80",,"62.265,06","5.655,91","8.241,84","337,25",,"14.235,00","48.030,06",,
MARIO DEVIENNE FERRAZ,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","9.705,13",,"6.196,21","19.817,29",,"66.189,74","5.872,78","8.643,96",,,"14.516,74","51.673,00",,
OSWALDO ERBETTA FILHO,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","8.261,42",,"814,00","22.750,92",,"62.297,45","5.655,91","8.711,73","343,68",,"14.711,32","47.586,13",,
PAULO MONDADORI FLORENCE,6ª VARA DE ACIDENTES DO TRABALHO,Juiz de Direito de Entrância Final,"28.947,55","7.437,57",,"5.191,73","15.102,21",,"56.679,06","5.102,35","6.734,96","3.958,99",,"15.796,30","40.882,76",,
RICARDO HENRY MARQUES DIP,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","7.265,28",,"5.191,73","19.128,17","686,38","62.742,67","3.739,64","7.431,55","211,38",,"11.382,57","51.360,10",,
RICARDO SANTOS FEITOSA,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","7.555,30",,"5.191,73","19.058,00",,"62.276,14","3.768,38","7.358,88",,,"11.127,26","51.148,88",,
ANTONIO BENEDITO MORELLO,1ª VARA CRIMINAL DA COMARCA DE SÃO CARLOS,Juiz de Direito de Entrância Final,"28.947,55","5.776,32",,"5.191,73","14.470,49",,"54.386,09","3.441,10","6.682,82","219,24",,"10.343,16","44.042,93",,"3.309,16"
ANTONIO CARLOS TRISTAO RIBEIRO,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","7.775,96",,"5.191,73","11.485,60",,"54.924,40","3.790,25","7.459,67","370,00",,"11.619,92","43.304,48",,
ANTONIO TEIXEIRA DA SILVA RUSSO,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,93",,"5.191,73","18.340,80",,"60.247,57","3.638,42","7.069,73","211,38",,"10.919,53","49.328,04",,
CYRO RICARDO SALTINI BONILHA,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","8.261,42",,"5.191,73","18.340,80",,"62.265,06","5.655,91","8.346,12",,,"14.002,03","48.263,03",,
ELCIO TRUJILLO,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.696,65",,"6.306,03","18.340,80",,"61.814,59","4.091,14","7.448,72","46,42",,"11.586,28","50.228,31",,
GILBERTO PINTO DOS SANTOS,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","8.261,42",,"5.191,73","18.340,80",,"62.265,06","5.655,91","8.241,84","257,80",,"14.155,55","48.109,51",,
JAIME FERREIRA MENINO,TRIBUNAL DE JUSTIÇA,Juiz de Direito Substituto em 2º Grau,"28.947,55","7.437,84",,"5.191,73","16.628,30",,"58.205,42","5.102,62","6.997,52","5.941,42",,"18.041,56","40.163,86",,
LUIS SOARES DE MELLO NETO,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","7.265,28",,"5.191,73","18.899,37",,"61.827,49","3.739,64","3.665,80","10.763,83",,"18.169,27","43.658,22",,
REINALDO FELIPE FERREIRA,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","8.375,84",,"5.191,73","23.718,55",,"67.757,23","5.770,33","5.687,94","6.267,15",,"17.725,42","50.031,81",,
SEBASTIAO FLAVIO DA SILVA FILHO,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","8.375,84",,"5.191,73","41.432,00",,"85.470,68","5.770,33","8.290,47","211,38",,"14.272,18","71.198,50",,
VICENTE ANTONIO MARCONDES D ANGELO,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","8.261,42",,"5.191,73","20.840,80",,"64.765,06","5.655,91","8.241,84","6.669,76",,"20.567,51","44.197,55",,
ANTONIO TADEU OTTONI,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.789,61",,"5.191,73","14.978,39",,"57.430,84","4.454,39","7.180,33","190,24",,"11.824,96","45.605,88",,
ANTONIO CARLOS VILLEN,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,93",,"6.062,80","20.178,35",,"62.956,19","3.638,42","7.121,87",,,"10.760,29","52.195,90",,
CARLOS ALBERTO RUSSO,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","8.261,41",,"5.191,73","18.340,80",,"62.265,05","5.655,90","7.792,82",,,"13.448,72","48.816,33",,
CARLOS ALBERTO DE SA DUARTE,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,93",,"5.191,73","18.340,80",,"60.247,57","3.638,42","7.121,87","581,38",,"11.341,67","48.905,90",,
GERALDO FRANCISCO PINHEIRO FRANCO,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","7.883,15",,"5.191,73","19.237,21",,"62.783,20","3.800,87","5.060,44","5.695,12",,"14.556,43","48.226,77",,
GUILHERME GONCALVES STRENGER,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.924,82",,"5.191,73","18.713,17",,"61.300,83","3.705,90","7.219,86",,,"10.925,76","50.375,07",,
IVAN RICARDO GARISIO SARTORI,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","5.463,11",,"5.191,73","17.913,71",,"59.039,66","3.561,04","6.949,70","7.065,55",,"17.576,29","41.463,37",,
LUIS ANTONIO GANZERLA,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,93",,"5.191,73","19.768,14",,"61.674,91","3.638,42","7.069,73","211,38",,"10.919,53","50.755,38",,
LUIZ EURICO COSTA FERRARI,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,93",,"5.191,73","20.840,80",,"62.747,57","3.638,42","7.069,73","5.763,14",,"16.471,29","46.276,28",,
BERENICE MARCONDES CESAR,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,93",,"5.191,73","18.340,80",,"60.247,57","3.638,42","7.226,14","211,38",,"11.075,94","49.171,63",,
CLAUDIO HAMILTON BARBOSA,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","7.674,92",,"6.341,73","15.736,46",,"60.224,22","5.339,70","6.899,30","5.736,67",,"17.975,67","42.248,55",,
CARLOS EDUARDO DONEGA MORANDINI,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","8.261,42",,"5.791,73","18.340,80",,"62.865,06","5.655,91","8.346,12",,,"14.002,03","48.863,03",,
DECIO LEME DE CAMPOS JUNIOR,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,93",,"6.951,40","19.381,00",,"63.047,44","3.638,42","7.017,59","5.989,82",,"16.645,83","46.401,61",,
FERNANDO ANTONIO MAIA DA CUNHA,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,93",,"5.191,73","19.768,14",,"61.674,91","3.638,42","3.564,19","13.011,00",,"20.213,61","41.461,30",,
JOAO CAMILLO DE ALMEIDA PRADO COSTA,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","8.261,42",,"5.191,73","29.366,34",,"73.290,60","5.655,91","10.195,95","29,00",,"15.880,86","57.409,74",,
JOSE ROBERTO COUTINHO DE ARRUDA,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,93",,"5.191,73","18.340,80",,"60.247,57","3.638,42","7.121,87","46,42",,"10.806,71","49.440,86",,
LUIZ ANTONIO CERQUEIRA LEITE,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","8.261,41",,"814,00","18.340,80",,"57.887,32","5.655,90","8.293,98","9.239,81",,"23.189,69","34.697,63",,
MARIO CARLOS DE OLIVEIRA,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","8.063,14",,"5.191,73","19.207,63","16.538,31","79.471,92","5.457,63","7.017,59","219,24",,"12.694,46","66.777,46",,
OTAVIO HENRIQUE DE SOUSA LIMA,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.924,82",,,"21.213,17",,"58.609,10","3.705,90","7.324,13",,,"11.030,03","47.579,07",,
RUI CASCALDI,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","8.261,42",,"5.430,13","18.340,80",,"62.503,46","5.655,91","7.069,73","211,38",,"12.937,02","49.566,44",,
SEBASTIAO THIAGO DE SIQUEIRA,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,93",,"5.191,73","20.840,80",,"62.747,57","3.638,42","7.121,87","211,38",,"10.971,67","51.775,90",,
CARLOS TEIXEIRA LEITE FILHO,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","5.463,11",,"5.191,73","61.077,95",,"102.203,90","3.561,04","7.001,84","5.542,78",,"16.105,66","86.098,24",,"1.580,58"
DANILO PANIZZA FILHO,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,93",,"5.191,73","18.340,80",,"60.247,57","3.638,42","7.174,00","9.203,31",,"20.015,73","40.231,84",,
JOSE LUIZ RIBEIRO TEIXEIRA,VARA DE ACIDENTES DO TRABALHO DA C DE SANTOS,Juiz de Direito de Entrância Final,"28.947,55","9.088,62",,"5.191,73","14.470,49","15.641,38","73.339,77","6.753,40","7.108,88","46,42",,"13.908,70","59.431,07",,
JOVINO DE SYLOS NETO,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.432,67",,"5.191,73","29.366,34",,"71.461,85","3.827,16","9.294,78",,,"13.121,94","58.339,91",,
WILLIAN ROBERTO DE CAMPOS,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","8.261,42",,"5.191,73","18.340,80",,"62.265,06","5.655,91","8.293,98","9.102,41",,"23.052,30","39.212,76",,
ABEN ATHAR DE PAIVA COUTINHO,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","7.517,73",,"5.191,73","18.340,80",,"61.521,37","4.912,22","7.790,56","2.140,20",,"14.842,98","46.678,39",,
ALDEMAR JOSE FERREIRA DA SILVA,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","8.261,42",,"5.513,73","20.840,80",,"65.087,06","5.655,91","8.293,98","37,00",,"13.986,89","51.100,17",,
ANTONIO CARLOS MACHADO DE ANDRADE,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","8.063,14",,"5.191,73","18.340,80","16.538,31","78.605,09","5.457,63","7.069,73",,,"12.527,36","66.077,73",,
ANTONIO CELSO AGUILAR CORTEZ,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.918,07",,"5.191,73","18.340,80",,"60.921,71","4.312,56","7.226,14",,,"11.538,70","49.383,01",,
ARTUR CESAR BERETTA DA SILVEIRA,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","7.433,62",,"5.510,63","17.913,71",,"61.329,07","5.531,55","8.249,71",,,"13.781,26","47.547,81",,
CARLOS EDUARDO CAUDURO PADIN,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","8.261,42",,"5.191,73","18.340,80",,"62.265,06","5.655,91","8.293,98","3.057,46",,"17.007,35","45.257,71",,
CESAR LACERDA,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","8.261,42",,"5.191,73","20.840,80",,"64.765,06","5.655,91","8.346,12","252,84",,"14.254,87","50.510,19",,
DECIO DE MOURA NOTARANGELI,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,93",,"5.191,73","18.340,80",,"60.247,57","3.638,42","4.502,58","15.823,26",,"23.964,26","36.283,31",,
FRANCISCO JOSE GALVAO BRUNO,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","7.943,35",,"5.191,73","18.176,71",,"61.782,90","5.608,13","7.965,79",,,"13.573,92","48.208,98",,
GERALDO EUCLIDES ARAUJO XAVIER,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","7.433,62",,"5.191,73","17.913,71",,"61.010,17","5.531,55","7.053,97","980,84",,"13.566,36","47.443,81",,
IVAN RODRIGUES DE ANDRADE,FORUM DA COMARCA DE ARARAQUARA,Juiz de Direito de Entrância Final,"28.947,55","7.381,98",,"5.191,73","14.596,84",,"56.118,10","5.046,76","4.818,55",,,"9.865,31","46.252,79",,
JOSE HENRIQUE ARANTES THEODORO,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","8.261,42",,"5.191,73","20.840,80",,"64.765,06","5.655,91","8.293,98","211,38",,"14.161,27","50.603,79",,
NILSON XAVIER DE SOUZA,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","8.063,14",,"5.191,73","18.340,80","16.538,31","78.605,09","5.457,63","7.069,73","257,80",,"12.785,16","65.819,93",,
OCTAVIO AUGUSTO MACHADO DE BARROS FILHO,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.614,14",,"5.191,73","14.816,54",,"57.093,52","5.143,41","6.791,99","6.594,78",,"18.530,18","38.563,34",,
PAULO ROBERTO DE SANTANA,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,93",,"5.191,73","18.340,80",,"60.247,57","3.638,42","6.052,95","12.478,34",,"22.169,71","38.077,86",,
RENATO DE SALLES ABREU FILHO,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,93",,"5.191,73","18.569,60","686,38","61.162,75","3.638,42","7.258,48",,,"10.896,90","50.265,85",,
RICARDO ANDERS DE ARAUJO,2ª VARA FAMÍLIA E SUCESSÕES FR III  JABAQUARA,Juiz de Direito Titular I,"28.947,55","5.357,73",,"5.191,73","13.641,51",,"53.138,52","4.751,47","6.207,52","190,24",,"11.149,23","41.989,29",,
RICARDO GRACCHO,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,93",,"5.191,73","18.340,80",,"60.247,57","3.638,42","7.069,73",,,"10.708,15","49.539,42",,
SERGIO GODOY RODRIGUES DE AGUIAR,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.317,87",,"5.335,73","20.840,80",,"62.965,51","3.712,36","7.114,60","29,00",,"10.855,96","52.109,55",,
VIRGILIO DE OLIVEIRA JUNIOR,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","8.261,42",,"5.191,73","18.340,80",,"62.265,06","5.655,91","8.293,98","1.745,41",,"15.695,30","46.569,76",,
VITO JOSE GUGLIELMI,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,93",,"5.191,73",,,"41.906,77","3.638,42","5.515,68","6.219,85",,"15.373,95","26.532,82",,
JOSE RAUL GAVIAO DE ALMEIDA,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","8.261,42",,"5.340,53","18.340,80",,"62.413,86","5.655,91","8.450,39","4.680,19",,"18.786,49","43.627,37",,
